Site_ID,Serial_No,Object_No,Item,File,Caption,Display_Order,As_found,Estimated_Original,Notes
M112,727,M112W01,Drainage,detail_assets/stone_objects/AI_727.jpg,Drainage,6,"North-west of M112, Prasat Prohout",M.112,
M116,728,M116H01,Hook,detail_assets/stone_objects/AI_728.jpg,Hook,1,North-east of M116,M.116,
M117,729,M117P01,Pedestal,detail_assets/stone_objects/AI_729.jpg,Pedestal,1,South side of M117,M.117,
M124,730,M124P01,Pedestal,detail_assets/stone_objects/AI_730.jpg,Pedestal,1,South-east of M124,M.124,
M125,731,M125S01,Statue,detail_assets/stone_objects/AI_731.jpg,Statue,1,On the mound of M125,M.125,
M129,732,M129C01,Colonnette,detail_assets/stone_objects/AI_732.jpg,Colonnette,1,East side of M129,Unknown,
M129,733,M129C02,Colonnette,detail_assets/stone_objects/AI_733.jpg,Colonnette,2,East side of M129 (central),Unknown,
M129,734,M129D01,Doorframe,detail_assets/stone_objects/AI_734.jpg,Doorframe,3,In the pit of M129 (central),Unknown,
M129,735,M129D02,Doorframe,detail_assets/stone_objects/AI_735.jpg,Doorframe,4,In the pit of M129 (central),Unknown,
M129,736,M129D03,Doorframe,detail_assets/stone_objects/AI_736.jpg,Doorframe,5,In the pit of M129 (central),Unknown,
M129,737,M129E01,Base of colonnette,detail_assets/stone_objects/AI_737.jpg,Base of colonnette,6,East side of M129,Unknown,
M129,738,M129E02,Base of colonnette,detail_assets/stone_objects/AI_738.jpg,Base of colonnette,7,East side of M129,Unknown,
M129,739,M129P01,Pedestal,detail_assets/stone_objects/AI_739.jpg,Pedestal,8,North-east of M129 (central),Unknown,
M129,740,M129P02,Pedestal,detail_assets/stone_objects/AI_740.jpg,Pedestal,9,South-east of M129 (central),Unknown,
M129,741,M129P03,Pedestal,detail_assets/stone_objects/AI_741.jpg,Pedestal,10,North-east of M129 (south),Unknown,
M129,742,M129P04,Pedestal,detail_assets/stone_objects/AI_742.jpg,Pedestal,11,In the pit of M129,Unknown,
M129,743,M129P05,Pedestal,detail_assets/stone_objects/AI_743.jpg,Pedestal,12,East side of M129,Unknown,
M129,744,M129P06,Pedestal,detail_assets/stone_objects/AI_744.jpg,Pedestal,13,North-east of M129,Unknown,
M129,745,M129U01,Unknown,detail_assets/stone_objects/AI_745.jpg,Unknown,14,North-east of M129 (central),Unknown,
M132,746,M132F01,Finial,detail_assets/stone_objects/AI_746.jpg,Finial,1,Around M132 (Nak Ta Chny),M.132,
M132,747,M132P01,Pedestal,detail_assets/stone_objects/AI_747.jpg,Pedestal,2,Around M132 (Nak Ta Chny),M.132,
M132,748,M132P02,Pedestal,detail_assets/stone_objects/AI_748.jpg,Pedestal,3,Around M132 (Nak Ta Chny),M.132,
