Site_ID,Asset_Type,Related_ID,File,Caption,Display_Order,External_URL,Embed_HTML,Notes
C1,old_photo,C1,detail_assets/oldphotos/OP_0063.jpg,Decorative lintel and colonnette: west face,10,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0159.jpg,Exterior: from south,11,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0160.jpg,Exterior: from north-east,12,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0161.jpg,Exterior: from south,13,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0162.jpg,Exterior: from south-east,14,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0163.jpg,"Lion: south face, east side",15,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0003.jpg,Exterior: from south-east,1,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0007.jpg,Around false door opening with decorative lintel and colonnette: south face,2,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0008.jpg,"Upper part of the colonnette: west face, north side",3,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0009.jpg,"Middle part of colonnette: west face, south side",4,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0058.jpg,"Lion: east face, north side",5,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0059.jpg,"Decorative colonnette: north face, west side",6,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0060.jpg,"Decorative colonnette: north face, east side",7,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0061.jpg,Decorative lintel and colonnette (above false door opening): north face,8,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0062.jpg,"Decorative colonnette: south face, east side",9,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0063.jpg,Decorative lintel and colonnette: west face,10,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0159.jpg,Exterior: from south,11,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0160.jpg,Exterior: from north-east,12,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0161.jpg,Exterior: from south,13,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0162.jpg,Exterior: from south-east,14,,,
C1,new_photo,C1,detail_assets/oldphotos/NP_0163.jpg,"Lion: south face, east side",15,,,
